150	151	150	151	150	151	150	151	150	151	150	151
166	167	166	167	166	167	166	167	166	167	166	167
182	183	182	183	182	183	182	183	182	183	182	183
166	167	166	167	166	167	166	167	166	167	166	167
182	183	182	183	182	183	182	183	182	183	182	183
166	167	166	167	166	167	166	167	166	167	166	167
182	183	182	183	182	183	182	183	182	183	182	183
166	167	166	167	166	167	166	167	166	167	166	167
182	183	182	183	182	183	182	183	182	183	182	183
166	167	166	167	166	167	166	167	166	167	166	167
182	183	182	183	182	183	182	183	182	183	182	183
198	199	198	199	198	199	198	199	198	199	198	199
0	0	0	0	0	0	0	0	0	0	0	0
1	1	1	1	1	1	1	1	1	1	1	0
1	1	1	1	1	1	1	1	1	1	1	0
1	1	1	1	1	1	1	1	1	1	1	0
1	1	1	1	1	1	1	1	1	1	1	0
1	1	1	1	1	1	1	1	1	1	1	0
1	1	1	1	1	1	1	1	1	1	1	0
1	1	1	1	1	1	1	1	1	1	1	0
1	1	1	1	1	1	1	1	1	1	1	0
0	0	0	0	0	0	0	0	0	0	0	0
